time	V(n003)	V(n004)
7.675756941328059e-003	4.438014e+000	-8.923152e-001
7.695288191328058e-003	4.686381e+000	-9.406067e-001
7.714819441328058e-003	4.864338e+000	-9.747506e-001
7.734350691328057e-003	4.969208e+000	-9.942334e-001
7.753881941328057e-003	4.999413e+000	-9.987619e-001
7.773413191328057e-003	4.954500e+000	-9.882681e-001
7.792944441328056e-003	4.835144e+000	-9.629099e-001
7.812475691328056e-003	4.643140e+000	-9.230686e-001
7.832006941328056e-003	4.381377e+000	-8.693435e-001
7.851538191328056e-003	4.053792e+000	-8.025427e-001
7.871069441328055e-003	3.665311e+000	-7.236708e-001
7.890600691328055e-003	3.221779e+000	-6.339143e-001
7.910131941328055e-003	2.729867e+000	-5.346231e-001
7.929663191328054e-003	2.196972e+000	-4.272907e-001
7.949194441328054e-003	1.631111e+000	-3.135315e-001
7.968725691328053e-003	1.040794e+000	-1.950564e-001
7.988256941328053e-003	4.348994e-001	-7.364752e-002
8.007788191328052e-003	-1.774589e-001	4.886910e-002
8.027319441328052e-003	-7.870710e-001	1.706507e-001
8.046850691328052e-003	-1.384768e+000	2.898655e-001
8.066381941328051e-003	-1.961559e+000	4.047205e-001
8.085913191328051e-003	-2.508770e+000	5.134881e-001
8.105444441328050e-003	-3.018169e+000	6.145324e-001
8.124975691328050e-003	-3.482095e+000	7.063335e-001
8.144506941328050e-003	-3.893570e+000	7.875108e-001
8.164038191328049e-003	-4.246404e+000	8.568431e-001
8.183569441328049e-003	-4.535290e+000	9.132877e-001
8.203100691328048e-003	-4.755883e+000	9.559956e-001
8.222631941328048e-003	-4.904866e+000	9.843245e-001
8.242163191328047e-003	-4.979997e+000	9.978482e-001
8.261694441328047e-003	-4.980146e+000	9.963633e-001
8.281225691328047e-003	-4.905312e+000	9.798921e-001
8.300756941328046e-003	-4.756618e+000	9.486825e-001
8.320288191328046e-003	-4.536305e+000	9.032039e-001
8.339819441328045e-003	-4.247683e+000	8.441402e-001
8.359350691328045e-003	-3.895096e+000	7.723799e-001
8.378881941328045e-003	-3.483845e+000	6.890022e-001
8.398413191328044e-003	-3.020117e+000	5.952613e-001
8.417944441328044e-003	-2.510887e+000	4.925672e-001
8.437475691328043e-003	-1.963813e+000	3.824643e-001
8.457006941328043e-003	-1.387125e+000	2.666089e-001
8.476538191328042e-003	-7.894949e-001	1.467433e-001
8.496069441328042e-003	-1.799129e-001	2.467068e-002
8.515600691328042e-003	4.324530e-001	-9.777306e-002
8.535131941328041e-003	1.038392e+000	-2.187462e-001
8.554663191328041e-003	1.628791e+000	-3.364292e-001
8.574194441328040e-003	2.194769e+000	-4.490520e-001
8.593725691328040e-003	2.727814e+000	-5.549206e-001
8.613256941328040e-003	3.219908e+000	-6.524427e-001
8.632788191328039e-003	3.663649e+000	-7.401515e-001
8.652319441328039e-003	4.052362e+000	-8.167276e-001
8.671850691328038e-003	4.380201e+000	-8.810195e-001
8.691381941328038e-003	4.642236e+000	-9.320599e-001
8.710913191328037e-003	4.834524e+000	-9.690814e-001
8.730444441328037e-003	4.954173e+000	-9.915270e-001
8.749975691328037e-003	4.999384e+000	-9.990591e-001
8.769506941328036e-003	4.969476e+000	-9.915643e-001
8.789038191328036e-003	4.864901e+000	-9.691556e-001
8.808569441328035e-003	4.687230e+000	-9.321698e-001
8.828100691328035e-003	4.439136e+000	-8.811634e-001
8.847631941328035e-003	4.124352e+000	-8.169034e-001
8.867163191328034e-003	3.747611e+000	-7.403564e-001
8.886694441328034e-003	3.314581e+000	-6.526738e-001
8.906225691328033e-003	2.831774e+000	-5.551744e-001
8.925756941328033e-003	2.306453e+000	-4.493245e-001
8.945288191328032e-003	1.746518e+000	-3.367165e-001
8.964819441328032e-003	1.160392e+000	-2.190440e-001
8.984350691328032e-003	5.568893e-001	-9.807677e-002
